,Hospitais,Hospitais,Hospitais,MedFarm,MedFarm,Ensino,Ensino,Ensino,Ensino,Ensino,Universidades,Universidades,Universidades,Abstencao,GanhoMes,GanhoMes,GanhoMes,PoderCompra,Hospedes,Hospedes
,Total,Oficial,Privado,Medico,Farmaceutico,Educação Pré-Escolar,Ensino Básico - 1º Ciclo,Ensino Básico - 2º Ciclo,Ensino Básico - 3º Ciclo,Ensino Secundário,Total,Público,Privado,Abstencao,Total,Masculino,Feminino,PoderCompra,Total,Hotéis
NAZARE,1,0,1,616.2,885.8,6,4,1,2,3,0,0,0,58.1,881.1,958.9,815.9,85.6,140039,0
OBIDOS,0,0,0,906.5,1071.3,11,3,3,1,1,0,0,0,45.4,966.8,1052.0,868.5,75.5,124960,72139
PENICHE,1,1,0,602.1,1471.9,14,15,3,4,2,1,1,0,54.1,904.2,984.1,826.4,85.9,102566,62049
SOBRAL-DE-MONTE-AGRACO,0,0,0,528.5,1321.3,5,3,1,1,1,0,0,0,43.1,949.6,1012.6,859.1,103.4,1302,0
TORRES-VEDRAS,2,1,1,364.5,739.4,52,44,9,11,7,0,0,0,43.3,1000.1,1074.3,908.5,95.3,115738,0
AGUEDA,1,1,0,383.6,837.0,27,14,5,6,2,1,1,0,46.7,1031.6,1144.5,891.8,86.5,28443,23053
ALBERGARIA-A-VELHA,0,0,0,360.2,928.3,22,14,4,4,3,0,0,0,46.3,1079.8,1175.9,923.6,84.5,19665,0
ANADIA,1,0,1,293.3,699.4,19,13,4,4,4,0,0,0,48.3,1006.5,1094.9,904.4,78.7,42566,0
AVEIRO,2,1,1,159.5,807.5,53,35,10,13,7,4,3,1,45.2,1196.5,1336.8,1007.1,123.1,215338,148320
ESTARREJA,1,1,0,464.0,1367.7,15,8,3,3,1,0,0,0,50.2,1224.3,1356.8,956.7,82.1,11450,0
ILHAVO,0,0,0,326.7,963.8,25,18,3,4,2,0,0,0,53.2,1094.6,1256.3,923.2,88.6,53894,47677
MURTOSA,0,0,0,540.1,1026.2,6,4,2,2,1,0,0,0,59.0,890.8,967.9,812.1,69.3,12724,0
OLIVEIRA-DO-BAIRRO,1,0,1,401.8,927.3,16,9,2,3,2,0,0,0,49.1,1008.4,1112.5,883.9,79.7,3872,0
OVAR,1,1,0,280.8,874.0,33,21,5,8,4,0,0,0,44.7,1032.4,1122.4,922.1,88.9,45805,38873
SEVER-DO-VOUGA,0,0,0,541.3,710.4,10,10,1,1,2,0,0,0,40.3,1000.2,1087.4,866.0,74.0,5828,0
VAGOS,0,0,0,413.0,811.2,12,10,2,4,3,0,0,0,50.3,993.3,1061.7,909.3,72.1,6960,0
ARGANIL,0,0,0,1003.7,920.1,7,6,2,3,1,0,0,0,43.6,851.4,944.0,767.5,68.2,16392,0
CANTANHEDE,2,2,0,299.5,593.9,24,19,6,6,3,0,0,0,52.2,1051.3,1160.9,921.8,79.8,14998,0
COIMBRA,15,10,5,28.9,289.3,80,69,19,22,17,18,16,2,42.7,1134.4,1255.3,1005.0,128.7,467825,0
CONDEIXA-A-NOVA,1,0,1,173.2,504.7,8,6,1,2,1,0,0,0,43.5,966.6,1058.4,880.4,77.9,7993,0
FIGUEIRA-DA-FOZ,1,1,0,161.1,675.9,36,31,4,8,5,0,0,0,49.6,1170.9,1338.0,946.9,95.0,165179,0
GOIS,0,0,0,1907.5,635.8,4,3,1,1,0,0,0,0,42.4,784.4,786.3,783.2,64.0,3410,0
LOUSA,0,0,0,571.4,1071.4,7,4,2,2,2,0,0,0,46.0,964.4,1035.3,881.3,80.6,20850,0
MEALHADA,1,0,1,311.0,796.1,13,6,2,3,2,0,0,0,49.1,1076.1,1177.7,906.8,86.9,83003,70833
MIRA,0,0,0,275.2,788.8,8,8,1,1,1,0,0,0,53.6,923.9,1026.9,828.8,72.2,21183,0
MIRANDA-DO-CORVO,0,0,0,423.3,1154.3,9,8,2,2,1,0,0,0,45.1,867.0,925.2,818.9,67.3,8040,0
MONTEMOR-O-VELHO,0,0,0,413.6,764.5,15,9,4,6,3,0,0,0,47.7,933.0,1012.7,848.1,71.0,12108,0
MORTAGUA,0,0,0,315.3,196.2,2,1,1,2,1,0,0,0,49.4,979.4,1073.8,856.4,74.1,30625,0
OLIVEIRA-DO-HOSPITAL,1,0,1,584.6,689.0,22,12,4,5,2,1,1,0,45.2,863.0,940.3,785.4,74.5,21851,0
PAMPILHOSA-DA-SERRA,0,0,0,2022.3,1348.2,3,2,1,1,1,0,0,0,46.6,840.9,896.6,810.2,64.6,7957,0
PENACOVA,0,0,0,764.1,1146.1,9,6,2,3,2,0,0,0,48.6,961.6,1041.3,822.7,63.7,4942,0
PENELA,0,0,0,451.5,1083.6,3,3,1,1,1,0,0,0,46.7,893.3,951.5,810.1,70.0,14459,0
SOURE,0,0,0,554.8,905.2,15,11,2,2,2,0,0,0,46.8,940.1,1082.9,834.0,70.7,8944,0
TABUA,0,0,0,669.7,1035.0,10,4,2,2,2,0,0,0,46.9,859.1,925.0,799.2,68.6,1770,0
VILA-NOVA-DE-POIARES,0,0,0,1386.8,2311.3,5,3,1,1,1,0,0,0,51.5,934.3,1014.6,853.2,70.5,2558,0
ALVAIAZERE,1,0,1,661.2,944.5,2,2,1,1,2,0,0,0,43.9,884.4,921.4,823.5,66.5,1829,0
ANSIAO,1,0,1,670.7,862.3,10,6,2,2,2,0,0,0,42.6,890.2,963.6,804.0,73.5,5040,0
BATALHA,0,0,0,611.6,993.8,12,10,2,2,1,0,0,0,40.8,1011.3,1100.1,879.7,84.8,41133,0
CASTANHEIRA-DE-PERA,0,0,0,2632.0,1316.0,1,1,1,1,0,0,0,0,44.1,912.9,1028.0,824.6,65.6,1962,0
FIGUEIRO-DOS-VINHOS,0,0,0,465.7,798.3,5,3,1,1,1,0,0,0,44.6,875.4,915.8,834.9,65.5,4699,0
LEIRIA,3,1,2,239.1,822.8,94,69,14,16,9,4,3,1,41.7,1092.0,1198.5,953.5,103.4,136234,0
MARINHA-GRANDE,1,0,1,938.0,1281.9,21,21,4,6,5,1,0,1,46.8,1303.6,1469.0,1028.2,98.5,46398,43207
PEDROGAO-GRANDE,0,0,0,1139.8,854.9,3,2,1,1,1,0,0,0,44.7,850.4,852.5,848.1,67.9,622,0
POMBAL,1,1,0,437.1,874.1,34,29,7,9,6,0,0,0,52.9,996.9,1089.4,872.0,82.2,31673,19862
PORTO-DE-MOS,0,0,0,802.8,1058.3,19,16,3,3,3,0,0,0,43.2,1055.1,1147.1,923.1,80.2,7698,0
AGUIAR-DA-BEIRA,0,0,0,587.0,1174.0,4,3,1,1,1,0,0,0,51.4,786.6,828.7,747.8,67.4,4861,0
CARREGAL-DO-SAL,0,0,0,618.7,928.1,2,2,2,3,1,0,0,0,52.4,945.9,1018.3,864.4,70.9,2887,0
CASTRO-DAIRE,0,0,0,693.8,816.2,14,13,2,4,2,0,0,0,52.1,848.5,906.0,768.4,64.8,11545,0
MANGUALDE,0,0,0,515.7,1031.3,16,8,1,2,1,0,0,0,49.8,1098.4,1220.3,839.4,82.4,20663,15120
NELAS,0,0,0,361.2,1000.2,14,7,2,3,2,0,0,0,51.2,1035.6,1157.4,882.3,77.1,23887,0
OLIVEIRA-DE-FRADES,0,0,0,551.6,992.8,10,3,1,1,1,0,0,0,44.7,1119.8,1223.3,959.4,77.5,0,0
PENALVA-DO-CASTELO,0,0,0,476.3,1190.8,5,4,1,1,1,0,0,0,49.2,867.0,923.4,780.4,58.4,7795,0
SANTA-COMBA-DAO,0,0,0,403.0,654.9,4,3,1,1,1,0,0,0,49.8,904.9,987.8,818.1,71.5,1260,0
SAO-PEDRO-DO-SUL,0,0,0,257.4,965.3,12,9,2,3,2,0,0,0,45.7,805.8,861.5,760.5,68.7,39783,31251
SATAO,0,0,0,463.6,1053.7,9,5,2,3,1,0,0,0,56.2,791.8,822.6,759.8,61.9,1036,0
TONDELA,1,1,0,394.8,367.4,24,11,4,6,3,0,0,0,45.5,1062.6,1168.9,953.6,75.0,20084,17339
VILA-NOVA-DE-PAIVA,0,0,0,784.2,1176.3,4,4,1,2,1,0,0,0,62.6,811.6,848.0,776.9,62.7,0,0
VISEU,3,1,2,125.2,789.6,70,56,11,14,6,7,4,3,46.6,987.1,1031.7,930.8,94.4,165833,0
VOUZELA,0,0,0,688.6,1071.1,8,9,2,3,2,0,0,0,43.1,904.5,1019.0,834.8,64.0,4580,0
