,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M
,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
MIRANDA-DO-DOURO,190.0,272.0,302.0,363.0,397.0,493.0,545.0,920.0,215.0,294.0,330.0,363.0,412.0,514.0,456.0,764.0
MIRANDELA,819.0,1064.0,1141.0,1404.0,1492.0,1645.0,1472.0,2361.0,814.0,1087.0,1138.0,1289.0,1422.0,1545.0,1346.0,1714.0
MOGADOURO,232.0,332.0,377.0,393.0,527.0,616.0,645.0,1138.0,238.0,343.0,424.0,447.0,581.0,603.0,551.0,945.0
VILA-FLOR,182.0,264.0,305.0,379.0,375.0,435.0,475.0,730.0,208.0,282.0,289.0,351.0,403.0,420.0,409.0,538.0
VIMIOSO,102.0,143.0,155.0,174.0,190.0,274.0,364.0,654.0,108.0,140.0,184.0,195.0,221.0,279.0,293.0,548.0
VINHAIS,159.0,254.0,307.0,329.0,419.0,566.0,673.0,1207.0,181.0,281.0,333.0,350.0,482.0,551.0,632.0,1021.0
ALCOBACA,2366.0,2826.0,2842.0,3777.0,4157.0,3707.0,3314.0,4629.0,2481.0,3017.0,2957.0,3636.0,3905.0,3571.0,2983.0,3388.0
ALENQUER,2328.0,2297.0,2546.0,3812.0,3326.0,2663.0,2391.0,3240.0,2471.0,2401.0,2530.0,3717.0,3172.0,2651.0,2134.0,2372.0
ARRUDA-DOS-VINHOS,879.0,778.0,862.0,1336.0,1198.0,874.0,822.0,1100.0,979.0,922.0,772.0,1334.0,1159.0,829.0,758.0,809.0
BOMBARRAL,536.0,638.0,635.0,859.0,902.0,869.0,820.0,1253.0,541.0,647.0,699.0,819.0,889.0,774.0,780.0,900.0
CADAVAL,621.0,632.0,678.0,923.0,862.0,906.0,965.0,1483.0,655.0,628.0,683.0,931.0,899.0,875.0,825.0,1107.0
CALDAS-DA-RAINHA,2359.0,2762.0,2921.0,3837.0,3963.0,3631.0,3160.0,4688.0,2422.0,2776.0,2920.0,3709.0,3454.0,3300.0,2646.0,3365.0
LOURINHA,1268.0,1375.0,1478.0,2000.0,1797.0,1727.0,1566.0,2067.0,1327.0,1396.0,1463.0,1925.0,1761.0,1663.0,1475.0,1566.0
NAZARE,628.0,689.0,792.0,992.0,1053.0,1060.0,1000.0,1188.0,622.0,775.0,790.0,1010.0,959.0,917.0,864.0,826.0
OBIDOS,513.0,560.0,574.0,837.0,908.0,819.0,776.0,1101.0,578.0,646.0,578.0,790.0,848.0,805.0,718.0,799.0
PENICHE,1205.0,1350.0,1463.0,1924.0,1889.0,1880.0,1755.0,2197.0,1340.0,1377.0,1502.0,1855.0,1810.0,1804.0,1530.0,1620.0
SOBRAL-DE-MONTE-AGRACO,573.0,545.0,573.0,896.0,774.0,646.0,589.0,809.0,600.0,586.0,577.0,891.0,796.0,680.0,536.0,581.0
